source_api,api_id,title,description,rss_url,website,email,itunes_id,latest_episode_id,latest_pub_date_ms,earliest_pub_date_ms,total_episodes,update_frequency_hours,listen_score,listen_score_global_rank,podcast_spotify_id,audience_size,itunes_rating_average,itunes_rating_count,spotify_rating_average,spotify_rating_count,last_posted_at,image_url,instagram_url,twitter_url,linkedin_url,tiktok_url,youtube_url,facebook_url,other_social_url
listennotes,7b00033d7af84df49d8e1d4f864aed42,Building Abundant Success!!© with Sabrina-Marie,"
      <p>Cultural Creative Lifestyle! Interviews on Success Principles from International Experts, Celebrities, Millionaire Mentors &amp; Billionaire Icons... in Alternative/Naturopathic Medicine, God Centered Life Principles, Entertainment Arts, Organic Cuisine, Personal Development, Business Wealth, Alternative Energy.... Copyright © HEART, Inc. 2025 Join me on iHeart Media ~ https://tinyurl.com/BASiHeartRadio or Spotify @ https://tinyurl.com/BASonSpotify &amp; Amazon Music, Audacy:  <a href=""http://tinyurl.com/BASAud"">https://tinyurl.com/BASAud</a>. </p>
    ",https://sabrina-marie.podomatic.com/rss2.xml,https://www.podomatic.com/podcasts/sabrina-marie?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,positivevibe8@gmail.com,347511869,878986e813e34246aab36f26b8dd10c1,1746634748000,1264809337372,442,68,27,10%,1FfmCY2rN42MSljvY9YJie,900,5,10,5,3,,https://cdn-images-3.listennotes.com/podcasts/building-abundant-success-with-sabrina-aD_x4XQ6kZM-yJ_rnUbhVWG.1400x1400.jpg,,,,,,,
listennotes,fed59bef4d0545658664de5bc749a923,Traditional Medicine with Shamanflora,"Discover the ancient wisdom and traditional practices of plant/animal medicine on 'Traditional Medicine with Shamanflora'. Ximena Garcia is our host. She is the current Center Director of a Healing Center in Iquitos, Peru, called Shamanflora, an Advance Kambo practitioner trainer and Integration Coach. Each week, we delve into the science and traditional uses of various medicinal plants or animals, from the well-known to the obscure. Join us as we explore the physical and spiritual benefits and their role in promoting holistic health. Guests range from herbalists, naturopathic doctors, indigenous healers, and more. Whether you're a seasoned practitioner or just starting to learn about the power of plants, Traditional Medicine with Shamanflora will broaden your understanding and deepen your connection to nature.",https://feeds.transistor.fm/ximena-podcast,,,1671631128,8e2c19a2549d4b729ed3669294115611,1746630340000,1676278800058,77,168,,,4CZUxFdYq40IkRAEEwkLvH,800,5,3,5,10,,https://cdn-images-3.listennotes.com/podcasts/traditional-medicine-with-shamanflora-VtymZEYg237-CPByUW0vZga.1400x1400.jpg,https://www.instagram.com/shamanflora,,,,,,
listennotes,3bb7e952a3c54cc5b55010ad9f7e0cf4,Progress Your Health Podcast,"Do you feel like a “hot hormonal mess”?
You are not alone.  Many of us are told we are healthy but don’t feel great.  You feel tired, your sex drive has disappeared and you are frustrated with your weight, despite a healthy diet and exercise. At night you are exhausted, but your sleep quality is poor from waking up throughout the night. 

Needless to say, you’re irritable and your patience is short, which makes you feel guilty for overreacting.  It is not your fault! These are all signs of hormone-imbalances. 

Our hormones can affect our mood, weight, energy, sleep, libido, memory, hair, skin and even promote disease if they are out of balance. 

Dr. Robert Maki and Dr. Valorie Davidson are Naturopathic Physicians and graduates of Bastyr University.  They specialize in Bioidentical Hormone Replacement Therapy (BHRT), Functional Medicine and are the co-hosts of The Progress Your Health Podcast. 

This podcast is intended to educate listeners about hormonal conditions, such as hypothyroid, Hashimoto’s, adrenal fatigue, PMS, PCOS, perimenopause, menopause and low testosterone to name a few.  

The Progress Your Health Podcast will focus on cutting edge information and  therapies to help you lose weight, balance hormones and age gracefully.  It is Dr. Maki and Dr. Davidson’s mission to motivate, educate and empower you to take your health to the next level.",https://feeds.castos.com/z2584,https://progressyourhealth.com/series/progress-your-health-podcast/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,contact@progressyourhealth.com,1201021119,15e217e6c2e54b7ca69c0e085243a4b1,1746630000000,1485812843149,155,20,38,2%,4S3u8vmFnWLtzv94S4WKUT,900,,,,,,https://cdn-images-3.listennotes.com/podcasts/progress-your-health-podcast-progress-your-0TAvglMLFm6-iLd2oF3zKAu.1400x1400.jpg,,,,,,,
listennotes,5df27a8389b5437d8df3a24f531bae31,Smarter Not Harder,"Welcome to the Smarter Not Harder podcast brought to you by Health Optimization Medicine and Practice, as well as Smarter Not Harder, Inc.– the makers of Troscriptions.

This podcast is all about offering you one-cent solutions to $64,000 questions for all things decision making, consciousness, health optimization, performance, and so much more.

We interview subject matter experts who will tackle these one-cent solutions including Karl Friston, Donald Hoffman, Anna Lembke, Adam Robinson, and Dominic D'Agostino. 

The Smarter Not Harder podcast is hosted by Dr. Ted Achacoso, the founding pioneer of Health Optimization Medicine and Practice and Smarter Not Harder inc., Dr. Scott Sherr, the COO of both Health Optimization Medicine and Practice and Smarter Not Harder, Inc., Boomer Anderson, CEO of Health Optimization Medicine and Practice as well as Smarter Not Harder, Inc., and Jody Duval, a talented naturopath known for compounding her own formulations in her clinic Revital Health in Perth, Australia.

New episodes every Wednesday. Be sure to subscribe to never miss an episode!

Ready to work smarter not harder? Let's dive in!

Find more from us at troscriptions.com & homehope.org.",https://feeds.libsyn.com/454677/rss,https://sites.libsyn.com/454677?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,admin@snhlife.com,1663974629,3bc0addbae244263a69212b2a1c2ccf1,1746629760000,1673108880114,123,168,44,1%,,2600,5,186,,,,https://cdn-images-3.listennotes.com/podcasts/smarter-not-harder-smarter-not-harder-inc-srwzFJlBMO4-yc1lOeRzJpN.1400x1400.jpg,https://www.instagram.com/john.pharmd,,https://www.linkedin.com/in/drsherr,,https://www.youtube.com/channel/UCBN0GrxE7780vr5O2U5sO2w,https://www.facebook.com/drrobinrose,
listennotes,e893b1c6ae7649cbae386027ccbbe38b,a2a - the art 2 aging,"The Art 2 Aging podcast will demonstrate with each weekly episode how all of us 60+ can rediscover how to live happily and with good health. Our guests include naturopaths, integrative medicine practitioners, cardiologists, energy healers and individuals who are ""living the dream"". Join us and discover how you can squeeze the juice out of the lemon! <br/><br/><a href=""https://theart2aging.substack.com?utm_medium=podcast"">theart2aging.substack.com</a>",https://api.substack.com/feed/podcast/2385109.rss,https://theart2aging.substack.com/podcast?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,theart2aging@gmail.com,1744731391,27c4bf8b1b0240ffa7072a7f9bd7670f,1746615600000,1715101945039,58,84,,,3sEbqeviDAx1AMYxVGfMlR,900,0,0,5,1,,https://cdn-images-3.listennotes.com/podcasts/a2a-the-art-2-aging-gqk-r3a41en-ByC3flzoMDd.1400x1400.jpg,,,https://www.linkedin.com/in/davidmccaughan,,,,
listennotes,a1f5f2f2a7fd437d8a56fd3dd14819ab,The Revital Health Podcast,"Hosted by Jodi Duval, a leading naturopath and integrative medicine expert, The Revital Health Podcast explores cutting-edge strategies for health optimisation, blending modern science with ancestral wisdom.
Join Jodi and world-class experts as they break down the latest in functional medicine, biohacking, longevity, personalised nutrition, and holistic healing. Whether you’re looking to boost energy, balance hormones, improve gut health, or explore advanced therapies like red light therapy, peptides, hyperbaric oxygen, and metabolic health strategies, this podcast delivers practical insights you can apply today.
Expect deep dives, myth-busting, and actionable takeaways—all designed to help you thrive in your health journey.",https://feeds.soundcloud.com/users/soundcloud:users:598845747/sounds.rss,https://www.revitalhealth.com.au/category/the-revital-health-podcast/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,info@revitalhealth.com.au,1455821632,ea6e13042f9d4a05b7617f63de489cb9,1746605040000,1551640740102,105,202,24,10%,,1100,,,,,,https://cdn-images-3.listennotes.com/podcasts/the-revital-health-podcast-revital-health-QMyxCqD3OWE-AYMaE_CVPLh.1400x1400.jpg,https://www.instagram.com/dr.emilygannaway,,,,,https://www.facebook.com/dr.emilygannaway,
listennotes,73627c31dd44479d9891e9085ea121f0,The Vital Spirit Podcast with Dr. Kelly Livingston,"Welcome to The Vital Spirit Podcast, where holistic health meets true human potential. Hosted by Dr. Kelly Livingston, Naturopathic Physician and expert in mind-body-spirit medicine, this podcast is your guide to navigating the complexities of life with vitality, resilience, and healing.

Each episode blends science, intuition, and practical wisdom to help you harmonize your body, mind, and spirit. From gut-brain health and nervous system regulation to unlocking your full potential during times of transition, we explore transformative tools and strategies to help you thrive—not just survive.
Join Dr. Kelly for empowering conversations that will leave you feeling inspired to take the next step toward living fully human and deeply healed. If you’re ready to reclaim your health and embrace your authentic self, this podcast is for you.",https://feeds.captivate.fm/kellylivingston/,https://kellylivingston.captivate.fm?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,,1790365046,ef4fbdb57d81461896f8be96e093c89b,1746604800000,1736834400003,14,151,,,,,,,,,,https://cdn-images-3.listennotes.com/podcasts/the-vital-spirit-podcast-with-dr-kelly-dgAUXNoQKJG-oTlOQ1xK7X_.1400x1400.jpg,,,,,,,
listennotes,73d21106da164907987cf55829009733,The Jade Walker Way,"Hey I'm Jade! I'm a Naturopath and single twin mum who also happens to have endometriosis and ADHD.

The Jade Walker Way is a podcast that brings you a light-hearted approach to the reproductive health space, and many other random bits in between. 

Topics include endometriosis, reproductive conditions, IVF and reproductive technologies, pregnancy, motherhood and more.

I bring you my own personal stories along with bringing on interesting guests in the health space and every day people telling their story. 

Join my free facebook group ""Natural Medicine for Endometriosis"". ",https://anchor.fm/s/762ca878/podcast/rss,https://thejadewalkerway.podbean.com?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,info@jadewalker.com.au,1477298001,d412a83fa44e49e196f04af8f00215a0,1746598094000,1566296538041,44,801,30,10%,0ZIabXA42NsJmLvWAQaozd,800,5,1,,,,https://cdn-images-3.listennotes.com/podcasts/the-jade-walker-way-jade-walker-rNlUmosTEXf-xyJAG9hDvZQ.1400x1400.jpg,,,,,,,
listennotes,44b021aa64e6435db5a1a961bcd20240,Gordon Medical Forum,"<p><b>Drs Gordon and Parpia have a unique and proven approach to healing chronic conditions with over 50 years of clinical experience combined; they created the Gordon Medical Forum Podcast to introduce some of the most overlooked and important factors for overcoming chronic illness.</b></p><p><br></p><p><b>Eric Gordon, MD, is the Medical Director of Gordon Medical Associates, and Nafysa Parpia, ND, is the Director of Naturopathic Medicine. Gordon Medical Associates is the premier tick-borne illness, Lyme disease, and environmentally acquired illness clinic on the West Coast. To learn more about the team at Gordon Medical Associates, go to gordonmedical.com.<br></b><br></p>",https://feeds.buzzsprout.com/2308407.rss,https://gordonmedicalforum.buzzsprout.com?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,tammy@wildfirecreativecompany.com,1735965995,c13d572e2313478da888506d2b456b1e,1746597600000,1710777600021,28,336,31,5%,13oEfSA1lBoBWRvVaSXxEo,800,5,24,5,11,,https://cdn-images-3.listennotes.com/podcasts/gordon-medical-forum-gordon-medical-qZLbIU0mMhr-805ykhKWZsm.1400x1400.jpg,,,,,,,info@gordonmedical.com
listennotes,856dab35adc6451dae4bc832c8c57e77,The Cabral Concept,"The Cabral Concept by Dr. Cabral was created for you, the health conscious individual looking to discover the little known factors to ideal wellness, weight loss, and anti-aging. We uncover the root causes of why you're feeling stuck and unable to attain your goals and the action steps needed to live the life you always dreamed of. Plus, every day I answer your natural health wellness, weight loss, mindset, product review, and longevity questions. By following the Cabral Concept of ""Change Your Body - Change Your Life,"" our community believes that by first rebalancing your body and mind, you will then be motivated to conquer any goals you set for yourself in life. I look forward to sharing these real world, proven, holistic strategies with you straight from my Boston Naturopathic, Ayurvedic, and Functional Medicine practice!",https://cabral.libsyn.com/rss,https://stephencabral.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,media@stephencabral.com,1071469441,7a14c94570c14f24a876d1b16ac9f56a,1746594000000,1451508775470,3475,23,60,0.1%,,24200,4.8,1774,,,,https://cdn-images-3.listennotes.com/podcasts/the-cabral-concept-dr-stephen-cabral-DtembRo7KQ8-gecXHy4zk06.1400x1400.jpg,,,,,,,
listennotes,982646d59cc34c13a37d3727b52a9e36,"Psychedelics | Mushrooms, Mindset, and Spirituality","Welcome to Psychedelics, a podcast with guidance and tips for your next mushroom trip, the power of plant medicine, and how it all relates to spirituality, mindset, and your soul's destiny. Join the psychedelic tribe at jamesxandertrip.com ~
 
RESOURCES
 
Here are epic resources to help your spiritual journey: 
 
• Newsletter – jamesxandertrip.com
• James Xander – youtube.com/@emperorjames
• Unlock God Mode - unlockgodmode.org
• Mushroom Trip Checklist - mushroomchecklist.com
• Mushroom Trip Music - mushroomplaylist.com
• James Podcast – youtube.com/@jamesxandertrip
• Telegram channel – t.me/jamesxandertribe",https://feeds.transistor.fm/james,https://mushroomchecklist.com?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,hey@jamesxander.com,1680706098,bb704987246a4770b2ddc28ef7080427,1746622735000,1675327554092,105,127,29,10%,74vWHZHYIxopmqCOrVakfZ,2700,4.1,18,4.8,68,,https://cdn-images-3.listennotes.com/podcasts/psychedelics-mushrooms-mindset-and-laTC_5-FVh9--8hTb3akzmn.1400x1400.jpg,https://instagram.com/emperorjames,https://twitter.com/emperorjames,,,,,https://www.patreon.com/jamesxander
listennotes,d0e70e47db5949e491a699f4e5e4949e,The James Xander Trip | Decode Reality. Unlock God Mode. Live the Trip.,"The James Xander Trip is a portal into the minds of spiritual pioneers, psychonauts, and reality-shifters — delivering soul-awakening conversations on spirituality, psychedelics, plant medicine, manifestation, mindset, and conscious evolution.
 
Each episode is crafted to expand your awareness, activate your inner Creator, and connect you to the deeper magic, mystery, and destiny of your life.
 
Connect with me at emperorjames.com or @emperorjames – I would love to hear from you, how you found this podcast, and what your spiritual journey has been like. ❖ 
 
----------------------
 
Resources to Elevate Your Journey
 
Explore the tools, portals, and frequencies to deepen your path:
 
• youtube.com/@emperorjames
• youtube.com/@jamesxandertrip
• mushroomplaylist.com
• unlockgodmode.org
• jamesxander.com/telegram
• jamesxander.com/instagram
• jamesxander.com/twitter
• jamesxandertrip.com
 
May your path be guided, your soul be lit, and your day be legendary. 🤍",https://feeds.transistor.fm/the-james-xander-trip,https://jamesxandertrip.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,,1677109746,1f42a582af3643d98b881501d407f968,1746621934000,1678782335061,75,130,33,5%,1b9fzAugWo8yFHOwPWwPiJ,,5,21,4.9,67,,https://cdn-images-3.listennotes.com/podcasts/the-james-xander-trip-psychedelics-pVCAegvcM1n-62N1tygU39V.1400x1400.jpg,https://www.instagram.com/emperorjames,https://twitter.com/emperorjames,,,,,https://t.me/jamesxandertribe
listennotes,95d4b2ae6d7240219dda2ab488a81699,Radio Health Journal,"Each week, Radio Health Journal breaks down important news in medicine, science and technology with the help of world-renowned experts. Our three weekly segments will help guide you to a happier, healthier life – with some fun facts to share at dinner parties. Can magic mushrooms cure your depression? Have we outrun natural selection?

Hosted by Elizabeth Westfield, Greg Johnson and Maayan Voss de Bettancourt and produced by Kristen Farrah and Amirah Zaveri. New shows posted each Sunday by 5 a.m. EST. Subscribe, listen, and rate. If you’re looking for older episodes, you can find our entire segment catalog on our website radiohealthjournal.org. Also, check out the latest on Facebook and Instagram @radiohealthjournal and on X @RadioHealthJrnl.",https://feeds.megaphone.fm/ADL6280396742,https://radiohealthjournal.org?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,info@radiohealthjournal.org,338742826,47f8fbe2ae4044a2bb307907cfd30a10,1746612000000,1290945601530,1534,57,35,3%,6Ul82XjZYp9bzUVTjQJXhi,1400,4.7,30,4.6,18,,https://cdn-images-3.listennotes.com/podcasts/radio-health-journal-aurn-L3hoWYC5k6j-HhvFx4T6mES.1400x1400.jpg,,,,,,,
listennotes,d81ec777a4504d74ad98e79d86e17ab5,Medicine With The Medals,"Join us as we dive into the fascinating realm of plant medicines, covering a wide range of topics from herbs and botanicals to psychedelic substances. Our expert hosts and guest speakers will take you on a captivating journey, sharing insights, research, and personal stories that shed light on the potential of these powerful remedies.
We believe in the holistic approach to healing and the wisdom of traditional practices. Our episodes provide valuable knowledge on psychedelic plant medicines like ayahuasca and psilocybin mushrooms, which offer potential breakthroughs in mental health treatment.",https://anchor.fm/s/ede5e780/podcast/rss,http://www.medicinewiththemedals.com?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,medicinewiththemedals@gmail.com,1723629751,b6b672d345204628a5c76ca74064f382,1746428460000,1699403520043,45,160,,,6qsb7qxUSqfBQPJEjx5NeG,800,5,6,5,2,,https://cdn-images-3.listennotes.com/podcasts/medicine-with-the-medals-medicine-with-the-WD1gw02ueOn-LFN0_TuUiPZ.1400x1400.jpg,https://www.instagram.com/medicine_with_the_medals,,https://www.linkedin.com/in/theplantmedicinepath,,https://www.youtube.com/channel/UCVph0k0GQ79tkki0uI1bHAA,,
